Symbol	Length	LTL_S1	LTL_S2	LTL_S3
ZBTB40	9011	1185	1169	1192
LUZP1	9464	788	929	1144
TCEA3	2498	664	703	501
E2F2	5464	14	11	46
CNR2	5472	0	0	0
RP11-293P20.2	458	11	2	11
IFNLR1	4931	280	266	232
RP11-10N16.3	861	1	1	2
NIPAL3	7071	846	979	918
NCMAP	4127	71	26	68
RP11-84D1.2	2444	0	0	0
RHCE	2165	4	5	5
TMEM57	3951	620	704	630
MAN1C1	8299	194	467	226
SH3BGRL3	1782	213	234	211
LIN28A	4012	0	3	3
RPS6KA1	3815	360	348	391
TMEM222	1605	272	409	325
WASF2	5675	897	1100	1549
AHDC1	6986	394	463	559
RP5-1092A3.5	426	0	0	5
PHACTR4	6710	833	882	969
RCC1	3291	433	433	474
TAF12	2241	181	263	206
SRSF4	2393	725	889	880
PTPRU	5691	1037	1558	1028
MATN1	4134	38	17	17
MATN1-AS1	4028	22	27	39
RP11-73M7.6	2003	12	3	19
RP11-73M7.9	482	1	2	2
RP11-84A19.4	589	1	6	5
PTP4A2	4200	1595	1937	1835
KPNA6	7703	1552	1921	1657
RP4-622L5.2	669	0	0	0
HDAC1	2532	1003	1412	1223
RP1-27O5.3	3457	1	0	0
ZBTB8A	7080	196	314	290
SYNC	3857	14	20	21
S100PBP	6782	530	599	730
RNF19B	2619	398	439	346
PHC2	4784	1206	1573	1217
RP11-415J8.5	493	2	4	4
ZSCAN20	5316	154	201	184
RP5-1007G16.1	2263	0	0	1
DLGAP3	3990	58	66	54
ZMYM4	7250	1163	1568	1664
KIAA0319L	7410	1558	1899	1698
TFAP2E	2196	7	14	19
AGO4	7276	511	647	638
AGO3	21188	756	894	1053
COL8A2	4674	57	52	198
STK40	5274	649	819	760
GRIK3	9798	6	6	59
SNIP1	4735	320	394	342
YRDC	1831	117	190	147
C1orf122	2233	197	344	277
INPP5B	8152	373	457	483
RP5-884C9.2	597	1	2	1
RRAGC	4726	561	519	650
BMP8A	1699	12	13	10
BMP8B	5151	177	108	104
RLF	6254	882	1276	1200
RP4-739H11.4	1688	60	86	94
KCNQ4	4141	8	9	10
SCMH1	3841	345	412	373
HIVEP3	12417	3	0	26
FOXJ3	6577	934	1236	1106
RIMKLA	8914	29	21	39
C1orf50	1980	163	208	158
WDR65	5232	96	168	141
TIE1	6065	5	5	84
SZT2	13224	1069	1239	1355
KDM4A-AS1	1937	21	24	33
ST3GAL3	2575	67	94	82
IPO13	4818	921	1079	865
RP5-1198O20.4	2651	0	1	2
ERI3	2050	1376	1667	1268
KIF2C	3299	34	53	162
EIF2B3	2224	218	292	244
ZSWIM5	6062	168	323	179
TESK2	3292	99	149	146
MAST2	6332	644	624	797
PIK3R3	7689	1835	2022	1682
